,name,formFactor,socket,chipset,ramType,ramSlots,ramFreq,maxRam,powerPin,price,link
0,MSI H510M-A PRO,mATX,LGA 1200,Intel H510,DDR4 ,2,3200,64,24+8 ,5490,https://www.citilink.ru/product/materinskaya-plata-msi-h510m-a-pro-soc-1200-intel-h510-2xddr4-matx-ac-1564800/
1,GIGABYTE H410M H V2,mATX,LGA 1200,Intel H470,DDR4 ,2,2933,64,24+8 ,4990,https://www.citilink.ru/product/materinskaya-plata-gigabyte-h410m-h-v2-soc-1200-intel-h470-2xddr4-matx-1530431/
2,ASUS PRIME H510M-K,mATX,LGA 1200,Intel H510,DDR4 ,2,2933,64,24+8 ,6190,https://www.citilink.ru/product/materinskaya-plata-asus-prime-h510m-k-soc-1200-intel-h510-2xddr4-matx-1498864/
3,GIGABYTE H510M H,mATX,LGA 1200,Intel H510,DDR4 ,2,3200,64,24+8 ,5590,https://www.citilink.ru/product/materinskaya-plata-gigabyte-h510m-h-soc-1200-intel-h510-2xddr4-matx-ac-1507912/
4,ASROCK H510M-HVS R2.0,mATX,LGA 1200,Intel H510,DDR4 ,2,3200,64,24+8 ,5290,https://www.citilink.ru/product/materinskaya-plata-asrock-h510m-hvs-r2-0-soc-1200-intel-h510-2xddr4-ma-1598716/
5,MSI PRO H610M-E DDR4,mATX,LGA 1700,Intel H610,DDR4 ,2,3200,64,24+8 ,6190,https://www.citilink.ru/product/materinskaya-plata-msi-pro-h610m-e-ddr4-soc-1700-intel-h610-2xddr4-mat-1845409/
6,GIGABYTE B550M DS3H,mATX,AM4,AMD B550,DDR4 ,4,3200,128,24+8 ,8990,https://www.citilink.ru/product/materinskaya-plata-gigabyte-b550m-ds3h-soc-am4-amd-b550-4xddr4-matx-ac-1407213/
7,GIGABYTE B550 GAMING X V2,ATX,AM4,AMD B550,DDR4 ,4,3200,128,24+8 ,10490,https://www.citilink.ru/product/materinskaya-plata-gigabyte-b550-gaming-x-v2-soc-am4-amd-b550-4xddr4-a-1621477/
8,GIGABYTE H610M S2H DDR4,mATX,LGA 1700,Intel H610,DDR4 ,2,3200,64,24+8 ,7090,https://www.citilink.ru/product/materinskaya-plata-gigabyte-h610m-s2h-ddr4-soc-1700-intel-h610-2xddr4-1670353/
9,MSI H510M PRO-E,mATX,LGA 1200,Intel H510,DDR4 ,2,3200,64,24+8 ,7350,https://www.citilink.ru/product/materinskaya-plata-msi-h510m-pro-e-soc-1200-intel-h510-2xddr4-matx-ac-1602238/
10,ASROCK H510M-HDV R2.0,mATX,LGA 1200,Intel H510,DDR4 ,2,3200,64,24+8 ,5490,https://www.citilink.ru/product/materinskaya-plata-asrock-h510m-hdv-r2-0-soc-1200-intel-h510-2xddr4-ma-1658953/
11,GIGABYTE A520M H,mATX,AM4,AMD A520,DDR4 ,2,3200,32,24+8 ,5890,https://www.citilink.ru/product/materinskaya-plata-gigabyte-a520m-h-soc-am4-amd-a520-2xddr4-matx-ac-97-1405122/
12,ASUS PRIME B660M-K D4,mATX,LGA 1700,Intel B660,DDR4 ,2,3200,64,24+8 ,9390,https://www.citilink.ru/product/materinskaya-plata-asus-prime-b660m-k-d4-soc-1700-intel-b660-2xddr4-ma-1669378/
13,GIGABYTE B550M AORUS ELITE,mATX,AM4,AMD B550,DDR4 ,4,3200,128,24+8 ,9890,https://www.citilink.ru/product/materinskaya-plata-gigabyte-b550m-aorus-elite-soc-am4-amd-b550-4xddr4-1403105/
14,GIGABYTE B550 AORUS ELITE V2,ATX,AM4,AMD B550,DDR4 ,4,3200,128,24+8 ,12490,https://www.citilink.ru/product/materinskaya-plata-gigabyte-b550-aorus-elite-v2-socketam4-amd-b550-atx-1444568/
15,GIGABYTE B560M DS3H V2,mATX,LGA 1200,Intel B560,DDR4 ,4,3200,128,24+8 ,7890,https://www.citilink.ru/product/materinskaya-plata-gigabyte-b560m-ds3h-v2-soc-1200-intel-b560-4xddr4-m-1612605/
16,GIGABYTE H410M S2H V2,mATX,LGA 1200,Intel H470,DDR4 ,2,2933,64,24+8 ,4990,https://www.citilink.ru/product/materinskaya-plata-gigabyte-h410m-s2h-v2-lga-1200-intel-h470-matx-ret-1476257/
17,ASROCK B660M-HDV,mATX,LGA 1700,Intel B660,DDR4 ,2,3200,64,24+8 ,7790,https://www.citilink.ru/product/materinskaya-plata-asrock-b660m-hdv-soc-1700-intel-b660-2xddr4-atx-ac-1669784/
18,ASUS PRIME B660-PLUS D4,ATX,LGA 1700,Intel B660,DDR4 ,4,3200,128,24+8 ,12990,https://www.citilink.ru/product/materinskaya-plata-asus-prime-b660-plus-d4-soc-1700-intel-b660-4xddr4-1669375/
19,MSI PRO B660M-E DDR4,mATX,LGA 1700,Intel B660,DDR4 ,2,3200,64,24+8 ,8900,https://www.citilink.ru/product/materinskaya-plata-msi-pro-b660m-e-ddr4-soc-1700-intel-b660-2xddr4-mat-1845404/
20,GIGABYTE B560M H,mATX,LGA 1200,Intel B560,DDR4 ,2,3200,64,24+8 ,6990,https://www.citilink.ru/product/materinskaya-plata-gigabyte-b560m-h-soc-1200-intel-b560-2xddr4-matx-ac-1530434/
21,MSI B560M-A PRO,mATX,LGA 1200,Intel B560,DDR4 ,2,3200,64,24+8 ,8560,https://www.citilink.ru/product/materinskaya-plata-msi-b560m-a-pro-soc-1200-intel-b560-2xddr4-matx-ac-1520476/
22,MSI A320M-A PRO,mATX,AM4,AMD A320,DDR4 ,2,2667,32,24+4 ,4690,https://www.citilink.ru/product/materinskaya-plata-msi-a320m-a-pro-socketam4-amd-a320-matx-ret-1196831/
23,GIGABYTE B660M DS3H DDR4,mATX,LGA 1700,Intel B660,DDR4 ,4,3200,128,24+8 ,11400,https://www.citilink.ru/product/materinskaya-plata-gigabyte-b660m-ds3h-ddr4-soc-1700-intel-b660-4xddr4-1697713/
24,GIGABYTE H610M H DDR4,mATX,LGA 1700,Intel H610,DDR4 ,2,3200,64,24+8 ,7590,https://www.citilink.ru/product/materinskaya-plata-gigabyte-h610m-h-ddr4-soc-1700-intel-h610-2xddr4-ma-1769452/
25,ASUS TUF GAMING B450-PLUS II,ATX,AM4,AMD B450,DDR4 ,4,2666,128,24+8 ,9990,https://www.citilink.ru/product/materinskaya-plata-asus-tuf-gaming-b450-plus-ii-socketam4-amd-b450-atx-1468600/
26,ASUS PRIME B450-PLUS,ATX,AM4,AMD B450,DDR4 ,4,2666,128,24+8 ,7890,https://www.citilink.ru/product/materinskaya-plata-asus-prime-b450-plus-socketam4-amd-b450-atx-ret-1083557/
27,GIGABYTE Z590 D,ATX,LGA 1200,Intel Z590,DDR4 ,4,3200,128,24+8+4 ,12060,https://www.citilink.ru/product/materinskaya-plata-gigabyte-z590-d-soc-1200-intel-z590-4xddr4-atx-ac-9-1520618/
28,GIGABYTE A520M S2H,mATX,AM4,AMD A520,DDR4 ,2,3200,64,24+8 ,5990,https://www.citilink.ru/product/materinskaya-plata-gigabyte-a520m-s2h-soc-am4-amd-a520-2xddr4-matx-ac-1405124/
29,MSI A520M-A PRO,mATX,AM4,AMD A520,DDR4 ,2,3200,64,24+4 ,5290,https://www.citilink.ru/product/materinskaya-plata-msi-a520m-a-pro-socketam4-amd-a520-matx-ret-1468032/
30,ASUS TUF GAMING B560-PLUS WIFI,ATX,LGA 1200,Intel B560,DDR4 ,4,3200,128,24+8 ,13590,https://www.citilink.ru/product/materinskaya-plata-asus-tuf-gaming-b560-plus-wifi-soc-1200-intel-b560-1495433/
31,ASUS TUF GAMING B660M-PLUS D4,mATX,LGA 1700,Intel B660,DDR4 ,4,3200,128,24+8+4 ,15990,https://www.citilink.ru/product/materinskaya-plata-asus-tuf-gaming-b660m-plus-d4-soc-1700-intel-b660-4-1669371/
32,ASUS PRIME A320M-R-SI,mATX,AM4,AMD A320,DDR4 ,2,2933,32,24+4 ,5090,https://www.citilink.ru/product/materinskaya-plata-asus-prime-a320m-r-si-socketam4-amd-a320-matx-ret-w-1156561/
33,MSI B560M PRO-E,mATX,LGA 1200,Intel B560,DDR4 ,2,3200,64,24+8 ,8310,https://www.citilink.ru/product/materinskaya-plata-msi-b560m-pro-e-soc-1200-intel-b560-2xddr4-matx-ac-1647761/
34,MSI PRO Z690-A WIFI DDR4,ATX,LGA 1700,Intel Z690,DDR4 ,4,3200,128,24+8+8 ,17990,https://www.citilink.ru/product/materinskaya-plata-msi-pro-z690-a-wifi-ddr4-soc-1700-intel-z690-4xddr4-1622869/
35,GIGABYTE Z690 AORUS ELITE DDR4,ATX,LGA 1700,Intel Z690,DDR4 ,4,3200,128,24+8+4 ,18990,https://www.citilink.ru/product/materinskaya-plata-gigabyte-z690-aorus-elite-ddr4-soc-1700-intel-z690-1623582/
36,MSI PRO H610M-G DDR4,mATX,LGA 1700,Intel H610,DDR4 ,2,3200,64,24+8 ,7490,https://www.citilink.ru/product/materinskaya-plata-msi-pro-h610m-g-ddr4-soc-1700-intel-h610-2xddr4-mat-1793472/
37,GIGABYTE Z690 UD DDR4,ATX,LGA 1700,Intel Z690,DDR4 ,4,3200,128,24+8+4 ,16990,https://www.citilink.ru/product/materinskaya-plata-gigabyte-z690-ud-ddr4-soc-1700-intel-z690-4xddr4-at-1618894/
38,ASUS ROG STRIX B660-F GAMING WIFI,ATX,LGA 1700,Intel B660,DDR5 ,4,4800,128,24+8+4 ,21990,https://www.citilink.ru/product/materinskaya-plata-asus-rog-strix-b660-f-gaming-wifi-soc-1700-intel-b6-1669365/
39,GIGABYTE H470M K,mATX,LGA 1200,Intel H470,DDR4 ,2,3200,64,24+8 ,5190,https://www.citilink.ru/product/materinskaya-plata-gigabyte-h470m-k-soc-1200-intel-h470-2xddr4-matx-ac-1872176/
40,ASUS ROG STRIX B560-F GAMING WIFI,ATX,LGA 1200,Intel B560,DDR4 ,4,3200,128,24+8 ,13990,https://www.citilink.ru/product/materinskaya-plata-asus-rog-strix-b560-f-gaming-wifi-soc-1200-intel-b5-1490719/
41,GIGABYTE Z690 GAMING X DDR4,ATX,LGA 1700,Intel Z690,DDR4 ,4,3200,128,24+8+4 ,17990,https://www.citilink.ru/product/materinskaya-plata-gigabyte-z690-gaming-x-ddr4-soc-1700-intel-z690-4xd-1618806/
42,ASUS PRIME B660M-A D4,mATX,LGA 1700,Intel B660,DDR4 ,4,3200,128,24+8 ,10890,https://www.citilink.ru/product/materinskaya-plata-asus-prime-b660m-a-d4-soc-1700-intel-b660-4xddr4-ma-1669372/
43,GIGABYTE A520M DS3H,mATX,AM4,AMD A520,DDR4 ,4,3200,128,24+8 ,6690,https://www.citilink.ru/product/materinskaya-plata-gigabyte-a520m-ds3h-soc-am4-amd-b550-4xddr4-matx-ac-1410231/
44,ASROCK H610M-HVS,mATX,LGA 1700,Intel H610,DDR4 ,2,3200,64,24+8 ,6190,https://www.citilink.ru/product/materinskaya-plata-asrock-h610m-hvs-soc-1700-intel-h610-2xddr4-matx-ac-1714413/
45,ASUS TUF GAMING B560M-PLUS,mATX,LGA 1200,Intel B560,DDR4 ,4,3200,128,24+8 ,13290,https://www.citilink.ru/product/materinskaya-plata-asus-tuf-gaming-b560m-plus-soc-1200-intel-b560-4xdd-1490718/
46,GIGABYTE B550 AORUS ELITE AX V2,ATX,AM4,AMD B550,DDR4 ,4,3200,128,24+8 ,16990,https://www.citilink.ru/product/materinskaya-plata-gigabyte-b550-aorus-elite-ax-v2-soc-am4-amd-b550-4x-1490201/
47,ASUS ROG STRIX B560-E GAMING WIFI,ATX,LGA 1200,Intel B560,DDR4 ,4,3200,128,24+8+4 ,14590,https://www.citilink.ru/product/materinskaya-plata-asus-rog-strix-b560-e-gaming-wifi-soc-1200-intel-b5-1588538/
48,ASUS PRIME H610M-K D4,mATX,LGA 1700,Intel H610,DDR4 ,2,3200,64,24+8 ,6890,https://www.citilink.ru/product/materinskaya-plata-asus-prime-h610m-k-d4-soc-1700-intel-h610-2xddr4-ma-1669380/
49,ASUS PRIME H610M-R D4-SI,mATX,LGA 1700,Intel H610,DDR4 ,2,3200,64,24+4 ,6890,https://www.citilink.ru/product/materinskaya-plata-asus-prime-h610m-r-d4-si-soc-1700-intel-h610-2xddr4-1855469/
50,GIGABYTE Z590 UD AC,ATX,LGA 1200,Intel Z590,DDR4 ,4,3200,128,24+8+4 ,12920,https://www.citilink.ru/product/materinskaya-plata-gigabyte-z590-ud-ac-soc-1200-intel-z590-4xddr4-atx-1498885/
51,ASUS TUF GAMING B450M-PLUS II,mATX,AM4,AMD B450,DDR4 ,4,2666,128,24+8 ,9990,https://www.citilink.ru/product/materinskaya-plata-asus-tuf-gaming-b450m-plus-ii-soc-am4-amd-b450-4xdd-1498831/
52,ASUS PRIME Z690-P WIFI,ATX,LGA 1700,Intel Z690,DDR5 ,4,4800,128,24+8+4 ,21990,https://www.citilink.ru/product/materinskaya-plata-asus-prime-z690-p-wifi-soc-1700-intel-z690-4xddr5-a-1646229/
53,MSI PRO Z690-P DDR4,ATX,LGA 1700,Intel Z690,DDR4 ,4,3200,128,24+8+4 ,16990,https://www.citilink.ru/product/materinskaya-plata-msi-pro-z690-p-ddr4-soc-1700-intel-z690-4xddr4-atx-1622870/
54,MSI MAG B560 TORPEDO,ATX,LGA 1200,Intel B560,DDR4 ,4,2933,128,24+8+4 ,9990,https://www.citilink.ru/product/materinskaya-plata-msi-mag-b560-torpedo-soc-1200-intel-b560-4xddr4-atx-1793441/
55,MSI MAG Z690 TOMAHAWK WIFI DDR4,ATX,LGA 1700,Intel Z690,DDR4 ,4,3200,128,24+8+8 ,21190,https://www.citilink.ru/product/materinskaya-plata-msi-mag-z690-tomahawk-wifi-ddr4-soc-1700-intel-z690-1622868/
56,GIGABYTE X570S UD,ATX,AM4,AMD X570,DDR4 ,4,2933,128,24+8 ,14990,https://www.citilink.ru/product/materinskaya-plata-gigabyte-x570s-ud-soc-am4-amd-x570-4xddr4-atx-ac-97-1669485/
57,MSI PRO Z690-A DDR4,ATX,LGA 1700,Intel Z690,DDR4 ,4,3200,128,24+8+8 ,16590,https://www.citilink.ru/product/materinskaya-plata-msi-pro-z690-a-ddr4-soc-1700-intel-z690-4xddr4-atx-1622862/
58,ASUS PRIME H670-PLUS D4,ATX,LGA 1700,Intel H670,DDR4 ,4,3200,128,24+8 ,16530,https://www.citilink.ru/product/materinskaya-plata-asus-prime-h670-plus-d4-soc-1700-intel-h670-4xddr4-1669370/
59,MSI PRO B660M-G DDR4,mATX,LGA 1700,Intel B660,DDR4 ,2,3200,64,24+8 ,9590,https://www.citilink.ru/product/materinskaya-plata-msi-pro-b660m-g-ddr4-soc-1700-intel-b660-2xddr4-mat-1770752/
60,ASUS TUF GAMING B660M-PLUS WIFI D4,mATX,LGA 1700,Intel B660,DDR4 ,4,3200,128,24+8+4 ,15990,https://www.citilink.ru/product/materinskaya-plata-asus-tuf-gaming-b660m-plus-wifi-d4-soc-1700-intel-b-1669369/
61,ASUS TUF GAMING B660-PLUS WIFI D4,ATX,LGA 1700,Intel B660; 0 0,DDR4 ,4,3200,128,24+8+4 ,17990,https://www.citilink.ru/product/materinskaya-plata-asus-tuf-gaming-b660-plus-wifi-d4-soc-1700-intel-b6-1669374/
62,ASUS TUF GAMING B660M-E D4,mATX,LGA 1700,Intel B660,DDR4 ,4,3200,128,24+8 ,14790,https://www.citilink.ru/product/materinskaya-plata-asus-tuf-gaming-b660m-e-d4-soc-1700-intel-b660-4xdd-1669584/
63,MSI MAG Z690 TOMAHAWK WIFI,ATX,LGA 1700,Intel Z690,DDR5 ,4,5600,128,24+8+8 ,21890,https://www.citilink.ru/product/materinskaya-plata-msi-mag-z690-tomahawk-wifi-soc-1700-intel-z690-4xdd-1622865/
64,ASROCK H610M-HDV,mATX,LGA 1700,Intel H610,DDR4 ,2,3200,64,24+8 ,6490,https://www.citilink.ru/product/materinskaya-plata-asrock-h610m-hdv-soc-1700-intel-h610-2xddr4-matx-ac-1714410/
65,ASROCK B660 STEEL LEGEND,ATX,LGA 1700,Intel B660,DDR4 ,4,3200,128,24+8 ,12990,https://www.citilink.ru/product/materinskaya-plata-asrock-b660-steel-legend-soc-1700-intel-b660-4xddr4-1698587/
66,ASUS PRIME Z690M-PLUS D4,mATX,LGA 1700,Intel Z690,DDR4 ,4,3200,128,24+8+4 ,16990,https://www.citilink.ru/product/materinskaya-plata-asus-prime-z690m-plus-d4-soc-1700-intel-z690-4xddr4-1619611/
67,MSI B560-A PRO,ATX,LGA 1200,Intel B560,DDR4 ,4,3200,128,24+8+4 ,10990,https://www.citilink.ru/product/materinskaya-plata-msi-b560-a-pro-soc-1200-intel-b560-4xddr4-atx-ac-97-1647127/
68,GIGABYTE Z790 GAMING X AX,ATX,LGA 1700,Intel Z790,DDR5 ,4,4800,128,24+8+8 ,23890,https://www.citilink.ru/product/materinskaya-plata-gigabyte-z790-gaming-x-ax-soc-1700-intel-z790-4xddr-1875911/
69,GIGABYTE A520M K,mATX,AM4,AMD A520,DDR4 ,2,3200,64,24+8 ,5890,https://www.citilink.ru/product/materinskaya-plata-gigabyte-a520m-k-soc-am4-amd-a520-2xddr4-matx-ac-97-1880834/
70,ASUS TUF GAMING Z690-PLUS WIFI D4,ATX,LGA 1700,Intel Z690,DDR4 ,4,3200,128,24+8+4 ,24490,https://www.citilink.ru/product/materinskaya-plata-asus-tuf-gaming-z690-plus-wifi-d4-soc-1700-intel-z6-1622855/
71,MSI B560M BOMBER,mATX,LGA 1200,Intel B560,DDR4 ,2,3200,64,24+8 ,6490,https://www.citilink.ru/product/materinskaya-plata-msi-b560m-bomber-soc-1200-intel-b560-2xddr4-matx-ac-1861823/
72,ASROCK H610M-HDV/M.2,mATX,LGA 1700,Intel H610,DDR4 ,2,3200,64,24+8 ,6790,https://www.citilink.ru/product/materinskaya-plata-asrock-h610m-hdv-m-2-soc-1700-intel-h610-2xddr4-atx-1680404/
73,MSI X570-A PRO,ATX,AM4,AMD X570,DDR4 ,4,3200,128,24+8+4 ,14890,https://www.citilink.ru/product/materinskaya-plata-msi-x570-a-pro-socketam4-amd-x570-atx-ret-1156380/
74,ASUS TUF GAMING B550M-PLUS,mATX,AM4,AMD B550,DDR4 ,4,3200,128,24+8 ,14990,https://www.citilink.ru/product/materinskaya-plata-asus-tuf-gaming-b550m-plus-soc-am4-amd-b550-4xddr4-1387931/
75,ASUS TUF GAMING A520M-PLUS,mATX,AM4,AMD A520,DDR4 ,4,3200,128,24+8 ,8990,https://www.citilink.ru/product/materinskaya-plata-asus-tuf-gaming-a520m-plus-soc-am4-amd-a520-4xddr4-1405623/
76,ASUS TUF GAMING H670-PRO WIFI D4,ATX,LGA 1700,Intel H670,DDR4 ,4,3200,128,24+8+4 ,17990,https://www.citilink.ru/product/materinskaya-plata-asus-tuf-gaming-h670-pro-wifi-d4-soc-1700-intel-h67-1669368/
77,ASUS ROG STRIX B660-A GAMING WIFI D4,ATX,LGA 1700,Intel B660,DDR4 ,4,3200,128,24+8+4 ,18990,https://www.citilink.ru/product/materinskaya-plata-asus-rog-strix-b660-a-gaming-wifi-d4-soc-1700-intel-1669582/
78,ASUS ROG STRIX B560-A GAMING WIFI,ATX,LGA 1200,Intel B560,DDR4 ,4,3200,128,24+8 ,14990,https://www.citilink.ru/product/materinskaya-plata-asus-rog-strix-b560-a-gaming-wifi-soc-1200-intel-b5-1495231/
79,ASUS PRIME B560-PLUS,ATX,LGA 1200,Intel B560,DDR4 ,4,2933,128,24+8 ,13360,https://www.citilink.ru/product/materinskaya-plata-asus-prime-b560-plus-soc-1200-intel-b560-4xddr4-atx-1495435/
80,ASUS TUF GAMING B450M-PRO II,mATX,AM4,AMD B450,DDR4 ,4,2666,128,24+8 ,11990,https://www.citilink.ru/product/materinskaya-plata-asus-tuf-gaming-b450m-pro-ii-socketam4-amd-b450-mat-1427622/
81,MSI MAG B550 TOMAHAWK,ATX,AM4,AMD B550,DDR4 ,4,2933,128,24+8 ,13860,https://www.citilink.ru/product/materinskaya-plata-msi-mag-b550-tomahawk-soc-am4-amd-b550-4xddr4-atx-a-1407248/
82,ASUS PRIME H610M-A D4-CSM,mATX,LGA 1700,Intel H610,DDR4 ,2,3200,64,24+8 ,8990,https://www.citilink.ru/product/materinskaya-plata-asus-prime-h610m-a-d4-csm-soc-1700-intel-h610-2xddr-1680565/
83,ASUS TUF GAMING B550M-E WIFI,mATX,AM4,AMD B550,DDR4 ,4,3200,128,24+8 ,15100,https://www.citilink.ru/product/materinskaya-plata-asus-tuf-gaming-b550m-e-wifi-soc-am4-amd-b550-4xddr-1538713/
84,ASROCK H610M-HVS/M.2 R2.0,mATX,LGA 1700,Intel H610,DDR4 ,2,3200,64,24+8 ,6990,https://www.citilink.ru/product/materinskaya-plata-asrock-h610m-hvs-m-2-r2-0-soc-1700-intel-h610-2xddr-1857673/
85,ASUS PRIME H510M-A,mATX,LGA 1200,Intel H510,DDR4 ,2,2933,64,24+8 ,8370,https://www.citilink.ru/product/materinskaya-plata-asus-prime-h510m-a-soc-1200-intel-h510-2xddr4-matx-1495429/
86,ASUS TUF GAMING Z590-PLUS,ATX,LGA 1200,Intel Z590,DDR4 ,4,3200,128,24+8+4 ,19990,https://www.citilink.ru/product/materinskaya-plata-asus-tuf-gaming-z590-plus-lga-1200-intel-z590-atx-r-1471261/
87,ASUS TUF GAMING B560M-PLUS WIFI,mATX,LGA 1200,Intel B560,DDR4 ,4,3200,?,?,13390,https://www.citilink.ru/product/materinskaya-plata-asus-tuf-gaming-b560m-plus-wifi-soc-1200-intel-b560-1495443/
88,ASUS TUF GAMING Z690-PLUS WIFI,ATX,LGA 1700,Intel Z690,DDR5 ,4,4800,128,24+8+4 ,25990,https://www.citilink.ru/product/materinskaya-plata-asus-tuf-gaming-z690-plus-wifi-soc-1700-intel-z690-1680433/
89,ASUS PRIME B450M-K II,mATX,AM4,AMD B450,DDR4 ,2,2666,64,24+8 ,6390,https://www.citilink.ru/product/materinskaya-plata-asus-prime-b450m-k-ii-socketam4-amd-b450-matx-ret-1423913/
90,ASUS PRIME Z690-P WIFI D4,ATX,LGA 1700,Intel Z690,DDR4 ,4,3200,?,?,18990,https://www.citilink.ru/product/materinskaya-plata-asus-prime-z690-p-wifi-d4-soc-1700-intel-z690-4xddr-1623290/
91,GIGABYTE H510M K,mATX,LGA 1200,Intel H510,DDR4 ,2,3200,64,24+8 ,5490,https://www.citilink.ru/product/materinskaya-plata-gigabyte-h510m-k-soc-1200-intel-h510-2xddr4-matx-ac-1880842/
92,ASUS ROG STRIX B550-XE GAMING WIFI,ATX,AM4,AMD B550,DDR4 ,4,3200,128,24+8+4 ,24990,https://www.citilink.ru/product/materinskaya-plata-asus-rog-strix-b550-xe-gaming-wifi-socketam4-amd-b5-1453730/
93,ASUS PRIME A520M-K,mATX,AM4,AMD A520,DDR4 ,2,3200,64,24+8 ,5890,https://www.citilink.ru/product/materinskaya-plata-asus-prime-a520m-k-soc-am4-amd-a520-2xddr4-matx-ac-1410389/
94,ASROCK B550 STEEL LEGEND,ATX,AM4,AMD B550,DDR4 ,4,3200,128,24+8+4 ,13990,https://www.citilink.ru/product/materinskaya-plata-asrock-b550-steel-legend-socketam4-amd-b550-atx-ret-1415789/
