,name,formFactor,socket,chipset,ramType,ramSlots,ramFreq,maxRam,powerPin,price,link
188,ASROCK H570M PRO4,mATX,LGA 1200,Intel H570,DDR4 ,4,2933,128,24+8+4 ,10990,https://www.citilink.ru/product/materinskaya-plata-asrock-h570m-pro4-soc-1200-intel-h570-4xddr4-matx-a-1485311/
189,ASUS PRIME Z790-P D4,ATX,LGA 1700,Intel Z790,DDR4 ,4,3200,128,24+8+4 ,20990,https://www.citilink.ru/product/materinskaya-plata-asus-prime-z790-p-d4-soc-1700-intel-z790-4xddr4-atx-1868472/
190,ASUS PRIME X670-P WIFI,ATX,AM5,AMD X670,DDR5 ,4,4800,128,24+8+4 ,28990,https://www.citilink.ru/product/materinskaya-plata-asus-prime-x670-p-wifi-socketam5-amd-x670-4xddr5-at-1881862/
191,ASUS PRIME B650M-A,mATX,AM5,AMD B650,DDR5 ,4,4800,128,24+8 ,16990,https://www.citilink.ru/product/materinskaya-plata-asus-prime-b650m-a-socketam5-amd-b650-4xddr5-matx-a-1885932/
192,GIGABYTE H610M K DDR4,mATX,LGA 1700,Intel H610,DDR4 ,2,3200,64,24+8 ,6990,https://www.citilink.ru/product/materinskaya-plata-gigabyte-h610m-k-ddr4-soc-1700-intel-h610-2xddr4-ma-1893609/
193,ASUS TUF GAMING Z790-PLUS WIFI D4,ATX,LGA 1700,Intel Z790,DDR4 ,4,3200,128,24+8+4 ,27990,https://www.citilink.ru/product/materinskaya-plata-asus-tuf-gaming-z790-plus-wifi-d4-soc-1700-intel-z7-1868490/
194,ASUS TUF GAMING B650M-PLUS,mATX,AM5,AMD B650,DDR5 ,4,5200,128,24+8+4 ,22060,https://www.citilink.ru/product/materinskaya-plata-asus-tuf-gaming-b650m-plus-socketam5-amd-b650-4xddr-1877961/
195,ASUS PRIME H610M-D D4,mATX,LGA 1700,Intel H610,DDR4 ,2,3200,64,24+8 ,7990,https://www.citilink.ru/product/materinskaya-plata-asus-prime-h610m-d-d4-soc-1700-intel-h610-2xddr4-ma-1676845/
196,GIGABYTE B760 AORUS ELITE AX,ATX,LGA 1700,Intel B760,DDR5 ,4,4800,128,24+8+4 ,18990,https://www.citilink.ru/product/materinskaya-plata-gigabyte-b760-aorus-elite-ax-soc-1700-intel-b760-4x-1893264/
197,ASUS ROG STRIX Z790-I GAMING WIFI,mini-ITX,LGA 1700,Intel Z790,DDR5 ,2,5600,64,24+8 ,45990,https://www.citilink.ru/product/materinskaya-plata-asus-rog-strix-z790-i-gaming-wifi-soc-1700-intel-z7-1868470/
198,ASUS ROG CROSSHAIR VIII HERO(WI-FI),ATX,AM4,AMD X570,DDR4 ,4,3200,128,24+8+4 ,36590,https://www.citilink.ru/product/materinskaya-plata-asus-rog-crosshair-viii-hero-wi-fi-soc-am4-amd-x570-1495446/
199,ASUS PRO Q670M-C-CSM,mATX,LGA 1700,Intel Q670,DDR5 ,4,4800,128,24+8 ,16990,https://www.citilink.ru/product/materinskaya-plata-asus-pro-q670m-c-csm-soc-1700-intel-q670-4xddr5-mat-1847499/
200,ASROCK H670 STEEL LEGEND,ATX,LGA 1700,Intel H670,DDR4 ,4,3200,128,24+8+4 ,14290,https://www.citilink.ru/product/materinskaya-plata-asrock-h670-steel-legend-soc-1700-intel-h610-4xddr4-1698595/
201,ASROCK H670 PG RIPTIDE,ATX,LGA 1700,Intel H670,DDR4 ,4,3200,128,24+8+4 ,12990,https://www.citilink.ru/product/materinskaya-plata-asrock-h670-pg-riptide-soc-1700-intel-h670-4xddr4-a-1787900/
202,ASROCK Z690 EXTREME,ATX,LGA 1700,Intel Z690,DDR4 ,4,3200,128,24+8+8 ,18990,https://www.citilink.ru/product/materinskaya-plata-asrock-z690-extreme-soc-1700-intel-z690-4xddr4-atx-1633393/
203,ASROCK Z590M PRO4,mATX,LGA 1200,Intel Z590,DDR4 ,4,3200,128,24+8+4 ,12690,https://www.citilink.ru/product/materinskaya-plata-asrock-z590m-pro4-lga-1200-intel-z590-matx-ret-1478005/
204,ASUS PRIME Z790M-PLUS D4,mATX,LGA 1700,Intel Z790,DDR4 ,4,3200,128,24+8+4 ,17490,https://www.citilink.ru/product/materinskaya-plata-asus-prime-z790m-plus-d4-soc-1700-intel-z790-4xddr4-1868452/
205,GIGABYTE Z690 AORUS ULTRA,ATX,LGA 1700,Intel Z690,DDR5 ,4,4800,128,24+8+4 ,32700,https://www.citilink.ru/product/materinskaya-plata-gigabyte-z690-aorus-ultra-soc-1700-intel-z690-atx-a-1618787/
206,ASUS ROG STRIX Z690-I GAMING WIFI,mini-ITX,LGA 1700,Intel Z690,DDR5 ,2,?,64,24+8 ,33990,https://www.citilink.ru/product/materinskaya-plata-asus-rog-strix-z690-i-gaming-wifi-soc-1700-intel-z6-1646238/
207,ASUS PRIME X299-A II,ATX,LGA 2066,Intel X299,DDR4 ,8,2933,256,24+8 ,28990,https://www.citilink.ru/product/materinskaya-plata-asus-prime-x299-a-ii-lga-2066-intel-x299-atx-ret-1200731/
208,ASUS ROG STRIX Z790-F GAMING WIFI,ATX,LGA 1700,Intel Z790,DDR5 ,4,5600,128,24+8+8 ,48640,https://www.citilink.ru/product/materinskaya-plata-asus-rog-strix-z790-f-gaming-wifi-soc-1700-intel-z7-1900923/
209,ASUS PROART Z790-CREATOR WIFI,ATX,LGA 1700,Intel Z790,DDR5 ,4,5600,128,24+8+6+4 ,57120,https://www.citilink.ru/product/materinskaya-plata-asus-proart-z790-creator-wifi-soc-1700-intel-z790-5-1897402/
210,ASUS PRO B560M-C/CSM,mATX,LGA 1200,Intel B560,DDR4 ,4,2933,128,24+8 ,12990,https://www.citilink.ru/product/materinskaya-plata-asus-pro-b560m-c-csm-soc-1200-intel-b560-4xddr4-mat-1498828/
211,GIGABYTE Z790 AORUS ELITE DDR4,ATX,LGA 1700,Intel Z790,DDR4 ,4,3200,128,24+8+8 ,22990,https://www.citilink.ru/product/materinskaya-plata-gigabyte-z790-a-elite-ddr4-soc-1700-intel-z790-4xdd-1892019/
212,ASUS PRIME B760M-K D4,mATX,LGA 1700,Intel B760,DDR4 ,2,3200,64,24+8 ,9990,https://www.citilink.ru/product/materinskaya-plata-asus-prime-b760m-k-d4-soc-1700-intel-b760-2xddr4-ma-1897344/
213,ASUS ROG STRIX B650E-I GAMING WIFI,mini-ITX,AM5,AMD B650,DDR5 ,2,5200,64,24+8 ,28990,https://www.citilink.ru/product/materinskaya-plata-asus-rog-strix-b650e-i-gaming-wifi-socketam5-amd-b6-1885928/
214,ASUS TUF GAMING Z790-PLUS WIFI,ATX,LGA 1700,Intel Z790,DDR5 ,4,5600,128,24+8+8 ,35720,https://www.citilink.ru/product/materinskaya-plata-asus-tuf-gaming-z790-plus-wifi-soc-1700-intel-z790-1897400/
215,ASUS PRIME Z590-P WIFI,ATX,LGA 1200,Intel Z590,DDR4 ,4,3200,128,24+8+4 ,19990,https://www.citilink.ru/product/materinskaya-plata-asus-prime-z590-p-wifi-soc-1200-intel-z590-4xddr4-a-1526554/
216,ASUS PROART B660-CREATOR D4,ATX,LGA 1700,Intel B660,DDR4 ,4,3200,128,24+8+4 ,19990,https://www.citilink.ru/product/materinskaya-plata-asus-proart-b660-creator-d4-soc-1700-intel-b660-4xd-1669379/
217,ASUS PRIME B760-PLUS D4,ATX,LGA 1700,Intel B760,DDR4 ,4,3200,128,24+8 ,14190,https://www.citilink.ru/product/materinskaya-plata-asus-prime-b760-plus-d4-soc-1700-intel-b760-4xddr4-1897338/
218,ASUS ROG STRIX B760-G GAMING WIFI D4,mATX,LGA 1700,Intel B760,DDR4 ,4,3200,128,24+8+4 ,24180,https://www.citilink.ru/product/materinskaya-plata-asus-rog-strix-b760-g-gaming-wifi-d4-soc-1700-intel-1897349/
219,ASUS PROART Z690-CREATOR WIFI,ATX,LGA 1700,Intel Z690,DDR5 ,4,4800,128,24+8+4 ,40990,https://www.citilink.ru/product/materinskaya-plata-asus-proart-z690-creator-wifi-soc-1700-intel-z690-4-1691963/
220,MSI PRO Z790-P WIFI DDR4,ATX,LGA 1700,Intel Z790,DDR4 ,4,3200,128,24+8+8 ,20250,https://www.citilink.ru/product/materinskaya-plata-msi-pro-z790-p-wifi-ddr4-soc-1700-intel-z790-4xddr4-1907565/
221,ASUS TUF GAMING B760M-PLUS WIFI D4,mATX,LGA 1700,Intel B760,DDR4 ,4,3200,128,24+8+4 ,18990,https://www.citilink.ru/product/materinskaya-plata-asus-tuf-gaming-b760m-plus-wifi-d4-soc-1700-intel-b-1897361/
222,ASUS PRIME H410M-D,mATX,LGA 1200,Intel H410,DDR4 ,2,2933,64,24+8 ,8960,https://www.citilink.ru/product/materinskaya-plata-asus-prime-h410m-d-soc-1200-intel-h410-2xddr4-matx-1393260/
223,ASUS ROG STRIX B760-A GAMING WIFI D4,ATX,LGA 1700,Intel B760,DDR4 ,4,3200,128,24+8+4 ,25600,https://www.citilink.ru/product/materinskaya-plata-asus-rog-strix-b760-a-gaming-wifi-d4-soc-1700-intel-1897346/
224,ASROCK Z790 PRO RS/D4,ATX,LGA 1700,Intel Z790,DDR4 ,4,3200,128,24+8+8 ,19990,https://www.citilink.ru/product/materinskaya-plata-asrock-z790-pro-rs-d4-soc-1700-intel-z790-4xddr4-at-1896152/
225,MSI MPG Z790 EDGE WIFI DDR4,ATX,LGA 1700,Intel Z790,DDR4 ,4,3200,128,24+8+8 ,33090,https://www.citilink.ru/product/materinskaya-plata-msi-mpg-z790-edge-wifi-ddr4-soc-1700-intel-z790-4xd-1907527/
226,ASUS PRO H510M-C/CSM,mATX,LGA 1200,Intel H510,DDR4 ,2,2933,64,24+8 ,10890,https://www.citilink.ru/product/materinskaya-plata-asus-pro-h510m-c-csm-soc-1200-intel-h510-2xddr4-mat-1498824/
227,ASUS PRIME Z590-P,ATX,LGA 1200,Intel Z590,DDR4 ,4,3200,128,24+8+4 ,15990,https://www.citilink.ru/product/materinskaya-plata-asus-prime-z590-p-lga-1200-intel-z590-atx-ret-1471262/
228,ASUS ROG STRIX Z590-I GAMING WIFI,mini-ITX,LGA 1200,Intel Z590,DDR4 ,2,3200,64,24+8 ,33980,https://www.citilink.ru/product/materinskaya-plata-asus-rog-strix-z590-i-gaming-wifi-lga-1200-intel-z5-1471257/
229,ASUS ROG MAXIMUS Z690 APEX,ATX,LGA 1700,Intel Z690,DDR5 ,2,4800,64,24+8+8 ,89990,https://www.citilink.ru/product/materinskaya-plata-asus-rog-maximus-z690-apex-soc-1700-intel-z690-2xdd-1635887/
230,ASUS ROG STRIX X670E-A GAMING WIFI,ATX,AM5,AMD X670,DDR5 ,4,5200,128,24+8+8 ,40990,https://www.citilink.ru/product/materinskaya-plata-asus-rog-strix-x670e-a-gaming-wifi-socketam5-amd-x6-1906189/
231,ASUS PRIME H770-PLUS D4,ATX,LGA 1700,Intel H770,DDR4 ,4,3200,128,24+8 ,15590,https://www.citilink.ru/product/materinskaya-plata-asus-prime-h770-plus-d4-soc-1700-intel-h770-4xddr4-1897391/
232,ASUS PRIME B760M-A WIFI D4,mATX,LGA 1700,Intel B760,DDR4 ,4,3200,128,24+8 ,15990,https://www.citilink.ru/product/materinskaya-plata-asus-prime-b760m-a-wifi-d4-soc-1700-intel-b760-4xdd-1897343/
233,ASUS PRIME B760M-A D4,mATX,LGA 1700,Intel B760,DDR4 ,4,3200,128,24+8 ,14490,https://www.citilink.ru/product/materinskaya-plata-asus-prime-b760m-a-d4-soc-1700-intel-b760-4xddr4-ma-1897342/
234,MSI PRO Z790-P DDR4,ATX,LGA 1700,Intel Z790,DDR4 ,4,3200,128,24+8+8 ,19070,https://www.citilink.ru/product/materinskaya-plata-msi-pro-z790-p-ddr4-soc-1700-intel-z790-4xddr4-atx-1907567/
235,ASUS PRIME H410M-A,mATX,LGA 1200,Intel H410,DDR4 ,2,2933,64,24+8 ,6830,https://www.citilink.ru/product/materinskaya-plata-asus-prime-h410m-a-soc-1200-intel-h410-2xddr4-atx-a-1379727/
236,MSI MAG Z790 TOMAHAWK WIFI DDR4,ATX,LGA 1700,Intel Z790,DDR4 ,4,3200,128,24+8+8 ,28490,https://www.citilink.ru/product/materinskaya-plata-msi-mag-z790-tomahawk-wifi-ddr4-soc-1700-intel-z790-1907518/
237,ASUS PROART X670E-CREATOR WIFI,ATX,AM5,AMD X670,DDR5 ,4,5200,128,24+8+8 ,52080,https://www.citilink.ru/product/materinskaya-plata-asus-proart-x670e-creator-wifi-socketam5-amd-x670-4-1900921/
238,MSI MAG B760M MORTAR WIFI DDR4,mATX,LGA 1700,Intel B760,DDR4 ,4,3200,128,24+8+8 ,19990,https://www.citilink.ru/product/materinskaya-plata-msi-mag-b760m-mortar-wifi-ddr4-soc-1700-intel-b760-1907418/
239,MSI PRO B760M-A WIFI DDR4,mATX,LGA 1700,Intel B760,DDR4 ,4,3200,128,24+8+4 ,13990,https://www.citilink.ru/product/materinskaya-plata-msi-pro-b760m-a-wifi-ddr4-soc-1700-intel-b760-4xddr-1907537/
240,MSI B550-A PRO,ATX,AM4,AMD B550,DDR4 ,4,3200,128,24+8 ,13280,https://www.citilink.ru/product/materinskaya-plata-msi-b550-a-pro-soc-am4-amd-b550-4xddr4-atx-ac-97-8c-1410227/
241,MSI PRO B760-P WIFI DDR4,ATX,LGA 1700,Intel B760,DDR4 ,4,3200,128,24+8+4 ,17990,https://www.citilink.ru/product/materinskaya-plata-msi-pro-b760-p-wifi-ddr4-soc-1700-intel-b760-4xddr4-1907534/
242,MSI MAG Z790 TOMAHAWK WIFI,ATX,LGA 1700,Intel Z790,DDR5 ,4,5600,192,24+8+8 ,29990,https://www.citilink.ru/product/materinskaya-plata-msi-mag-z790-tomahawk-wifi-soc-1700-intel-z790-4xdd-1907523/
243,ASUS PRO H610T D4-CSM,mini-ITX,LGA 1700,Intel H610,DDR4 ,2,3200,64,?,12460,https://www.citilink.ru/product/materinskaya-plata-asus-pro-h610t-d4-csm-soc-1700-intel-h610-2xddr4-mi-1892062/
244,ASUS ROG CROSSHAIR X670E GENE,mATX,AM5,AMD X670,DDR5 ,2,5200,?,24+8+8 ,57990,https://www.citilink.ru/product/materinskaya-plata-asus-rog-crosshair-x670e-gene-socketam5-amd-x670-2x-1906179/
245,MSI MAG B760M MORTAR MAX WIFI DDR4,mATX,LGA 1700,Intel B760,DDR4 ,4,3200,64,24+8+8 ,21990,https://www.citilink.ru/product/materinskaya-plata-msi-mag-b760m-mortar-max-wifi-ddr4-soc-1700-intel-b-1907570/
246,ASUS PROART B760-CREATOR D4,ATX,LGA 1700,Intel B760,DDR4 ,4,3200,128,24+8+4 ,23990,https://www.citilink.ru/product/materinskaya-plata-asus-proart-b760-creator-d4-soc-1700-intel-b660-4xd-1906197/
247,MSI PRO B760M-P DDR4,mATX,LGA 1700,Intel B760,DDR4 ,4,3200,128,24+8 ,11990,https://www.citilink.ru/product/materinskaya-plata-msi-pro-b760m-p-ddr4-soc-1700-intel-b760-4xddr4-mat-1907541/
248,ASUS PRIME B560M-K,mATX,LGA 1200,Intel B560,DDR4 ,2,2933,128,24+8 ,8990,https://www.citilink.ru/product/materinskaya-plata-asus-prime-b560m-k-soc-1200-intel-b560-2xddr4-matx-1494279/
249,MSI H310M PRO-VDH PLUS,mATX,LGA 1151v2,Intel H310,DDR4 ,2,2666,64,24+8 ,6000,https://www.citilink.ru/product/materinskaya-plata-msi-h310m-pro-vdh-plus-lga-1151v2-intel-h310-matx-r-1100872/
250,ASROCK B660 PRO RS,ATX,LGA 1700,Intel B660,DDR4 ,4,3200,32,24+8 ,12990,https://www.citilink.ru/product/materinskaya-plata-asrock-b660-pro-rs-soc-1700-intel-b660-4xddr4-atx-a-1676830/
251,ASUS ROG STRIX B660-I GAMING WIFI,mini-ITX,LGA 1700,Intel B660,DDR5 ,2,4800,128,24+8 ,21900,https://www.citilink.ru/product/materinskaya-plata-asus-rog-strix-b660-i-gaming-wifi-soc-1700-intel-b6-1669377/
252,ASUS PRIME H510M-R-SI,mATX,LGA 1200,Intel H510,DDR4 ,2,2933,64,24+4 ,6590,https://www.citilink.ru/product/materinskaya-plata-asus-prime-h510m-r-si-soc-1200-intel-h510-2xddr4-ma-1578614/
253,MSI MAG B560M BAZOOKA,mATX,LGA 1200,Intel B560,DDR4 ,4,2933,64,24+8 ,10490,https://www.citilink.ru/product/materinskaya-plata-msi-mag-b560m-bazooka-soc-1200-intel-b560-4xddr4-ma-1546426/
254,ASROCK B560 PRO4,ATX,LGA 1200,Intel B560,DDR4 ,4,2933,128,24+8 ,9990,https://www.citilink.ru/product/materinskaya-plata-asrock-b560-pro4-lga-1200-intel-b560-atx-ret-1478002/
255,ASUS ROG STRIX B550-E GAMING,ATX,AM4,AMD B550,DDR4 ,4,3200,128,24+8+4 ,22990,https://www.citilink.ru/product/materinskaya-plata-asus-rog-strix-b550-e-gaming-soc-am4-amd-b550-4xddr-1384336/
256,GIGABYTE X570S AERO G,ATX,AM4,AMD X570,DDR4 ,4,2933,128,24+8+4 ,26990,https://www.citilink.ru/product/materinskaya-plata-gigabyte-x570s-aero-g-soc-am4-amd-x570-4xddr4-atx-a-1637386/
257,ASROCK Z790M PG LIGHTNING/D4,mATX,LGA 1700,Intel Z790,DDR4 ,4,3200,128,24+8+4 ,15990,https://www.citilink.ru/product/materinskaya-plata-asrock-z790m-pg-lightning-d4-soc-1700-intel-z790-4x-1886352/
258,MSI PRO B760M-G DDR4,mATX,LGA 1700,Intel B760,DDR4 ,2,3200,64,24+8 ,11990,https://www.citilink.ru/product/materinskaya-plata-msi-pro-b760m-g-ddr4-soc-1700-intel-b760-2xddr4-mat-1907540/
259,MSI MAG B760 TOMAHAWK WIFI,ATX,LGA 1700,Intel B760,DDR5 ,4,5600,128,24+8+8+6 ,23990,https://www.citilink.ru/product/materinskaya-plata-msi-mag-b760-tomahawk-wifi-soc-1700-intel-b760-4xdd-1907415/
260,MSI MAG B760 TOMAHAWK WIFI DDR4,ATX,LGA 1700,Intel B760,DDR4 ,4,3200,128,24+8+8 ,23990,https://www.citilink.ru/product/materinskaya-plata-msi-mag-b760-tomahawk-wifi-ddr4-soc-1700-intel-b760-1907413/
261,ASUS ROG STRIX X670E-I GAMING WIFI,mini-ITX,AM5,AMD X670,DDR5 ,2,5200,64,24+8 ,45990,https://www.citilink.ru/product/materinskaya-plata-asus-rog-strix-x670e-i-gaming-wifi-socketam5-amd-x6-1906191/
262,ASUS TUF GAMING B760-PLUS WIFI D4,ATX,LGA 1700,Intel B760,DDR4 ,4,3200,128,24+8+4 ,19790,https://www.citilink.ru/product/materinskaya-plata-asus-tuf-gaming-b760-plus-wifi-d4-soc-1700-intel-b7-1897354/
263,ASROCK Z790 PRO RS WIFI,ATX,LGA 1700,Intel Z790,DDR5 ,4,4800,128,24+8+8 ,22990,https://www.citilink.ru/product/materinskaya-plata-asrock-z790-pro-rs-wifi-soc-1700-intel-z790-4xddr5-1896155/
264,GIGABYTE B760M G X AX DDR4,mATX,LGA 1700,Intel B760,DDR4 ,4,3200,128,24+8 ,13990,https://www.citilink.ru/product/materinskaya-plata-gigabyte-b760m-g-x-ax-ddr4-soc-1700-intel-b760-4xdd-1893556/
265,GIGABYTE B760M GAMING DDR4,mATX,LGA 1700,Intel B760,DDR4 ,2,3200,64,24+8 ,9490,https://www.citilink.ru/product/materinskaya-plata-gigabyte-b760m-gaming-ddr4-soc-1700-intel-b760-2xdd-1884430/
266,GIGABYTE B650M DS3H,mATX,AM5,AMD B650,DDR5 ,4,5200,128,24+8 ,14890,https://www.citilink.ru/product/materinskaya-plata-gigabyte-b650m-ds3h-socketam5-amd-b650-4xddr5-matx-1875860/
267,GIGABYTE X670 GAMING X AX,ATX,AM5,AMD X670,DDR5 ,4,5200,128,24+8+8 ,27990,https://www.citilink.ru/product/materinskaya-plata-gigabyte-x670-gaming-x-ax-socketam5-amd-x670-4xddr5-1875586/
268,GIGABYTE H610I DDR4,mini-ITX,LGA 1700,Intel H610,DDR4 ,2,3200,64,24+4 ,9490,https://www.citilink.ru/product/materinskaya-plata-gigabyte-h610i-ddr4-soc-1700-intel-h610-2xddr4-mini-1861076/
269,ASUS PRO B660M-C-CSM,mATX,LGA 1700,Intel B660,DDR5 ,4,4800,128,24+8 ,15680,https://www.citilink.ru/product/materinskaya-plata-asus-pro-b660m-c-csm-soc-1700-intel-b660-4xddr5-mat-1837206/
270,GIGABYTE B660I AORUS PRO DDR4,mini-ITX,LGA 1700,Intel B660,DDR4 ,2,3200,64,24+8 ,16990,https://www.citilink.ru/product/materinskaya-plata-gigabyte-b660i-aorus-pro-ddr4-soc-1700-intel-b660-2-1836142/
271,ASROCK B550 PG RIPTIDE,ATX,AM4,AMD B550,DDR4 ,4,3200,128,24+8+4 ,11890,https://www.citilink.ru/product/materinskaya-plata-asrock-b550-pg-riptide-soc-am4-amd-b550-4xddr4-atx-1781489/
272,MSI PRO B660M-A DDR4,mATX,LGA 1700,Intel B660,DDR4 ,4,3200,128,24+8+4 ,17000,https://www.citilink.ru/product/materinskaya-plata-msi-pro-b660m-a-ddr4-soc-1700-intel-b660-4xddr4-mat-1781378/
273,ASROCK B660M PHANTOM GAMING 4,mATX,LGA 1700,Intel B660,DDR4 ,4,3200,128,24+8 ,10990,https://www.citilink.ru/product/materinskaya-plata-asrock-b660m-phantom-gaming-4-soc-1700-intel-b660-4-1714409/
274,ASROCK H670M PRO RS,mATX,LGA 1700,Intel H670,DDR4 ,4,3200,128,24+8+4 ,11490,https://www.citilink.ru/product/materinskaya-plata-asrock-h670m-pro-rs-soc-1700-intel-h610-4xddr4-matx-1714389/
275,ASROCK H610M-ITX/AC,mini-ITX,LGA 1700,Intel H610,DDR4 ,2,3200,64,24+8 ,9990,https://www.citilink.ru/product/materinskaya-plata-asrock-h610m-itx-ac-soc-1700-intel-h610-2xddr4-mini-1698592/
276,ASUS ROG STRIX B660-A GAMING WIFI,ATX,LGA 1700,Intel B660,DDR5 ,4,4800,128,24+8+4 ,19790,https://www.citilink.ru/product/materinskaya-plata-asus-rog-strix-b660-a-gaming-wifi-soc-1700-intel-b6-1680425/
277,ASUS ROG STRIX B660-G GAMING WIFI,mATX,LGA 1700,Intel B660,DDR5 ,4,4800,128,24+8 ,23380,https://www.citilink.ru/product/materinskaya-plata-asus-rog-strix-b660-g-gaming-wifi-soc-1700-intel-b6-1669376/
278,ASROCK Z690 PRO RS,ATX,LGA 1700,Intel Z690,DDR4 ,4,3200,128,24+8+4 ,15990,https://www.citilink.ru/product/materinskaya-plata-asrock-z690-pro-rs-soc-1700-intel-z690-4xddr4-atx-a-1646542/
279,ASUS PRO Q570M-C/CSM,mATX,LGA 1200,Intel Q570,DDR4 ,4,2933,128,24+8 ,15990,https://www.citilink.ru/product/materinskaya-plata-asus-pro-q570m-c-csm-soc-1200-intel-q570-4xddr4-mat-1511495/
280,GIGABYTE B560M AORUS PRO,mATX,LGA 1200,Intel B560,DDR4 ,4,3200,128,24+8 ,13190,https://www.citilink.ru/product/materinskaya-plata-gigabyte-b560m-aorus-pro-soc-1200-intel-b560-4xddr4-1490282/
